1,2,3,4,5,6,consequent
672004670624890880,39759401317302272,-904687100866068480,-76346514019975168,888696284788031488,-406972100033642496,-0.5618080794811249
672004670624890880,-39759401317302272,-904687100866068480,-76346514019975168,888696284788031488,-406972100033642496,1.01177778840065
672004670624890880,-39759401317302272,-904687100866068480,-76346514019975168,888696284788031488,406972100033642496,2.02640238404274
672004670624890880,-39759401317302272,904687100866068480,76346514019975168,888696284788031488,-406972100033642496,1.0364422500133514
672004670624890880,-39759401317302272,904687100866068480,-76346514019975168,888696284788031488,-406972100033642496,1.9947002232074738
-672004670624890880,39759401317302272,-904687100866068480,76346514019975168,-888696284788031488,406972100033642496,-0.652163177728653
-672004670624890880,39759401317302272,-904687100866068480,76346514019975168,888696284788031488,406972100033642496,-2.564283400774002
-672004670624890880,39759401317302272,-904687100866068480,-76346514019975168,-888696284788031488,406972100033642496,0.30609479546546936
-672004670624890880,39759401317302272,-904687100866068480,-76346514019975168,888696284788031488,-406972100033642496,-2.6206500232219696
-672004670624890880,39759401317302272,-904687100866068480,-76346514019975168,888696284788031488,406972100033642496,-1.6060254275798798
-672004670624890880,39759401317302272,904687100866068480,76346514019975168,888696284788031488,406972100033642496,-1.5813609659671783
-672004670624890880,39759401317302272,904687100866068480,-76346514019975168,888696284788031488,-406972100033642496,-1.6377275884151459
-672004670624890880,39759401317302272,904687100866068480,-76346514019975168,888696284788031488,406972100033642496,-0.623102992773056
-672004670624890880,-39759401317302272,-904687100866068480,76346514019975168,-888696284788031488,406972100033642496,0.921422690153122
-672004670624890880,-39759401317302272,-904687100866068480,76346514019975168,888696284788031488,-406972100033642496,-2.005322128534317
-672004670624890880,-39759401317302272,-904687100866068480,76346514019975168,888696284788031488,406972100033642496,-0.9906975328922272
-672004670624890880,-39759401317302272,-904687100866068480,-76346514019975168,-888696284788031488,406972100033642496,1.8796806633472443
-672004670624890880,-39759401317302272,-904687100866068480,-76346514019975168,888696284788031488,-406972100033642496,-1.0470641553401947
-672004670624890880,-39759401317302272,-904687100866068480,-76346514019975168,888696284788031488,406972100033642496,-0.03243955969810486
-672004670624890880,-39759401317302272,904687100866068480,76346514019975168,-888696284788031488,406972100033642496,1.9043451249599457
-672004670624890880,-39759401317302272,904687100866068480,76346514019975168,888696284788031488,-406972100033642496,-1.0223996937274933
-672004670624890880,-39759401317302272,904687100866068480,76346514019975168,888696284788031488,406972100033642496,-0.007775098085403442
-672004670624890880,-39759401317302272,904687100866068480,-76346514019975168,888696284788031488,-406972100033642496,-0.06414172053337097
-672004670624890880,-39759401317302272,904687100866068480,-76346514019975168,888696284788031488,406972100033642496,0.9504828751087189
